Surface Mount Components,,,,,,
ID,Qty,Description,Package,Mfgr,Mfg Part #,Link
"U5,U6",2,MCP4725 single channel 12 bit I2C DAC,SOIC-14,,,
"U1,U2",2,TL074 op amp,SOIC-14,,,
U4,1,MCP4902 dual channel 8 bit SPI DAC,TSSOP-14,,,
U3,1,40106 Hex Schmitt-trigger inverter,TSSOP-14,,,
"C1,C10,C11,C12,C15,C18 C20,C22,C23",9,100nf capacitor,SMD 0402,,,
"C2,C8,C9,C13,C14,C16,C17,C19,C21,C24",10,10uf capacitor (polarized),SMD 0805,,,
"C3,C4,C5,C6,C7",5,1uf capacitor,SMD 0402,,,
"D1,D2",2,Schottky diode (30v),SOT-23,,,
"D3,D4,D5,D6,D7,D8",6,1N4148 diode,D_SOD-323,,,
"R2 R4,R5,R6,R7,R27,R28,R35",8,resistor 5.1k,SMD 0402,,,
"R8,R9,R10,R36",4,resistor 10k,SMD 0402,,,
"R11,R14,R24,R25,R31",5,resistor 1k,SMD 0402,,,
"R12,R30,R38,R40,R42",5,resistor 4.7k,SMD 0402,,,
"R13,R16,R18,R20,R22",5,resistor 100k,SMD 0402,,,
"R15,R17,R19,R21,R23",5,resistor 220k,SMD 0402,,,
R26,1,resistor 220 ohm,SMD 0402,,,
"R32,R33,R34",3,resistor 330 ohm,SMD 0402,,,
,,,,,,
Through Hole Components,,,,,,
ID,Qty,Description,Mfgr,Mfg Part #,Link,
J2,1,16 pos 2x08 IDC pins (male),Samtec,TST-108-02-T-D,https://mou.sr/4oMjFmU,
"R37,R39,R41,R43",4,1k trim pot,Bourns,3296X-1-102LF,https://mou.sr/44u4OnX,
OLED1,1,1x04 socket connector,Samtec,SSW-104-01-T-S,https://mou.sr/43Qrwqd,
J9,1,1x06 socket connector,Samtec,SSW-106-01-T-S,https://mou.sr/4ahPiPr,
"J7,J12",2,1x20 socket connector,,,,
"J1,J3,J4,J5,J6,J13,J14",7,3.5mm Jack,,,,
SW1,1,4 position DIP switch,TE Connectivity,2454982-3,https://mou.sr/3SZFLqg,
--,1,5 way button,,,,
U7,1,6N137 Optocoupler,LITEON,6N137,https://mou.sr/4eIy9Qa,
D10,1,green LED,Kingbright,WP113GDT,https://mou.sr/4oNpEIp,
J10,1,MIDI jack,,,,
--,1,"0.96"" SSD1306-based I2C OLED",,,,
A1,1,Raspberry Pi Pico,Raspberry Pi,SC0917,https://mou.sr/41kRroA,
D9,1,red LED,Kingbright,WP113IDT,https://mou.sr/4xOIRNK,
D11,1,yellow LED,Kingbright,WP113YDT,https://mou.sr/4xOQVhs,
,,,,,,
Assembly Components,,,,,,
ID,Qty,Description,,,,
--,5,13mm PCB Standoff 3M hole,,,,
--,2,2M nut,,,,
--,2,2M x 8mm screw,,,,
--,6,3M nut,,,,
--,8,3M x 2mm spacer,(3d printed or bought),,,
--,10,3M x 5mm screw,,,,
--,6,3M x 8mm screw,,,,
